Date,P/E,SMA_5_Years,sma_7_5_years,sma_10_years
2021-12-22,27.83,28.247603174603178,26.112296296296297,24.070876984126983
2021-12-23,28.02,28.252801587301587,26.11721693121693,24.07479761904762
2021-12-24,27.91,28.258055555555558,26.122095238095234,24.078734126984127
2021-12-27,28.05,28.263238095238094,26.127021164021166,24.08268253968254
2021-12-28,28.29,28.2685873015873,26.132169312169314,24.08661111111111
2021-12-29,28.25,28.273999999999997,26.13731746031746,24.090507936507937
2021-12-30,28.24,28.279261904761903,26.14215343915344,24.094162698412696
2021-12-31,28.69,28.284944444444445,26.147031746031747,24.09804761904762
2022-01-03,29.14,28.291206349206348,26.152042328042327,24.102055555555555
2022-01-04,29.44,28.297634920634923,26.15721164021164,24.10618253968254
2022-01-05,29.64,28.30404761904762,26.16246560846561,24.110380952380954
2022-01-06,29.35,28.31045238095238,26.167449735449736,24.114404761904762
2022-01-07,29.45,28.3165,26.17237037037037,24.118507936507935
2022-01-10,29.76,28.322761904761904,26.17742328042328,24.122865079365077
2022-01-11,29.86,28.329436507936506,26.182603174603177,24.127329365079362
2022-01-12,30.11,28.336198412698412,26.187878306878307,24.131900793650793
2022-01-13,30.19,28.34311111111111,26.19306349206349,24.136599206349207
2022-01-14,30.11,28.350015873015877,26.198243386243387,24.14132142857143
2022-01-17,30.19,28.35701587301587,26.203523809523812,24.146210317460316
2022-01-18,29.75,28.36372222222222,26.208566137566137,24.15096825396825
2022-01-19,29.46,28.370246031746035,26.21368253968254,24.155793650793655
2022-01-20,29.12,28.376563492063493,26.218603174603178,24.160436507936506
2022-01-21,28.91,28.382698412698417,26.223174603174602,24.16514682539683
2022-01-24,28.12,28.388039682539684,26.22722751322751,24.169472222222222
2022-01-25,27.93,28.39325396825397,26.23120105820106,24.17378968253968
2022-01-27,27.48,28.39784126984127,26.23484126984127,24.177726190476193
2022-01-28,27.49,28.40242857142857,26.238407407407408,24.181730158730158
2022-01-31,27.87,28.407174603174603,26.242121693121693,24.185849206349207
2022-02-01,28.11,28.412079365079364,26.245957671957672,24.189912698412698
2022-02-02,28.5,28.4171746031746,26.25004232804233,24.193968253968254
2022-02-03,28.14,28.421952380952384,26.25390476190476,24.19789682539683
2022-02-04,28.04,28.426793650793652,26.257867724867722,24.20175
2022-02-07,27.5,28.43102380952381,26.261555555555553,24.205559523809523
2022-02-08,27.17,28.435055555555554,26.26494708994709,24.209349206349206
2022-02-09,27.48,28.439349206349203,26.268608465608466,24.21340873015873
2022-02-10,27.35,28.443285714285715,26.272222222222222,24.21736507936508
2022-02-11,26.99,28.4469126984127,26.275719576719574,24.221230158730158
2022-02-14,26.0,28.449690476190476,26.278719576719578,24.22472619047619
2022-02-15,26.61,28.45297619047619,26.28192063492063,24.228603174603176
2022-02-16,26.5,28.456150793650792,26.285079365079362,24.232488095238097
2022-02-17,26.48,28.459388888888885,26.28833333333333,24.236464285714284
2022-02-18,26.43,28.462595238095233,26.291539682539682,24.24020634920635
2022-02-21,26.32,28.4656746031746,26.294539682539682,24.243849206349207
2022-02-22,26.14,28.46866666666667,26.2974126984127,24.247448412698414
2022-02-23,26.11,28.471547619047616,26.30013756613757,24.250940476190475
2022-02-24,24.86,28.47330952380952,26.302216931216932,24.253980158730158
2022-02-25,25.49,28.47530158730159,26.304597883597886,24.257333333333335
2022-02-28,25.69,28.477436507936506,26.307037037037038,24.260849206349206
2022-03-02,25.41,28.479365079365078,26.309560846560846,24.264285714285716
2022-03-03,25.24,28.481253968253966,26.312047619047622,24.26763888888889
