Date,P/E,SMA_5_Years,sma_7_5_years,sma_10_years,1.5sd_5SMA_POS,2sd_5SMA_POS,3sd_5SMA_POS,1.5sd_5SMA_NEG,2sd_5SMA_NEG,3sd_5SMA_NEG,1.5sd_7_5_SMA_POS,2sd_7_5SMA_POS,3sd_7_5SMA_POS,1.5sd_7_5SMA_NEG,2sd_7_5SMA_NEG,3sd_7_5SMA_NEG,1.5sd_10_SMA_POS,2sd_10SMA_POS,3sd_10SMA_POS,1.5sd_10SMA_NEG,2sd_10SMA_NEG,3sd_10SMA_NEG,signals
2000-09-26,19.26,,,,,,,,,,,,,,,,,,,,,,
2000-09-27,19.64,,,,,,,,,,,,,,,,,,,,,,
2000-09-28,19.24,,,,,,,,,,,,,,,,,,,,,,
2000-09-29,19.32,,,,,,,,,,,,,,,,,,,,,,
2000-10-03,19.48,,,,,,,,,,,,,,,,,,,,,,
2000-10-04,19.72,,,,,,,,,,,,,,,,,,,,,,
2000-10-05,19.52,,,,,,,,,,,,,,,,,,,,,,
2000-10-06,19.52,,,,,,,,,,,,,,,,,,,,,,
2000-10-09,19.26,,,,,,,,,,,,,,,,,,,,,,
2000-10-10,18.83,,,,,,,,,,,,,,,,,,,,,,
2000-10-11,18.26,,,,,,,,,,,,,,,,,,,,,,
2000-10-12,18.33,,,,,,,,,,,,,,,,,,,,,,
2000-10-13,18.01,,,,,,,,,,,,,,,,,,,,,,
2000-10-16,17.78,,,,,,,,,,,,,,,,,,,,,,
2000-10-17,17.51,,,,,,,,,,,,,,,,,,,,,,
2000-10-18,17.18,,,,,,,,,,,,,,,,,,,,,,
2000-10-19,17.64,,,,,,,,,,,,,,,,,,,,,,
2000-10-20,17.72,,,,,,,,,,,,,,,,,,,,,,
2000-10-23,17.3,,,,,,,,,,,,,,,,,,,,,,
2000-10-24,17.43,,,,,,,,,,,,,,,,,,,,,,
2000-10-25,17.9,,,,,,,,,,,,,,,,,,,,,,
2000-10-26,17.94,,,,,,,,,,,,,,,,,,,,,,
2000-10-27,17.83,,,,,,,,,,,,,,,,,,,,,,
2000-10-30,17.65,,,,,,,,,,,,,,,,,,,,,,
2000-10-31,17.74,,,,,,,,,,,,,,,,,,,,,,
2000-11-01,18.16,,,,,,,,,,,,,,,,,,,,,,
2000-11-02,18.52,,,,,,,,,,,,,,,,,,,,,,
2000-11-03,18.78,,,,,,,,,,,,,,,,,,,,,,
2000-11-06,18.76,,,,,,,,,,,,,,,,,,,,,,
2000-11-07,18.85,,,,,,,,,,,,,,,,,,,,,,
2000-11-08,19.17,,,,,,,,,,,,,,,,,,,,,,
2000-11-09,19.21,,,,,,,,,,,,,,,,,,,,,,
2000-11-10,18.75,,,,,,,,,,,,,,,,,,,,,,
2000-11-13,18.28,,,,,,,,,,,,,,,,,,,,,,
2000-11-14,18.8,,,,,,,,,,,,,,,,,,,,,,
2000-11-15,18.87,,,,,,,,,,,,,,,,,,,,,,
2000-11-16,18.66,,,,,,,,,,,,,,,,,,,,,,
2000-11-17,18.7,,,,,,,,,,,,,,,,,,,,,,
2000-11-20,18.72,,,,,,,,,,,,,,,,,,,,,,
2000-11-21,18.68,,,,,,,,,,,,,,,,,,,,,,
2000-11-22,18.49,,,,,,,,,,,,,,,,,,,,,,
2000-11-23,18.4,,,,,,,,,,,,,,,,,,,,,,
2000-11-24,18.54,,,,,,,,,,,,,,,,,,,,,,
2000-11-27,18.96,,,,,,,,,,,,,,,,,,,,,,
2000-11-28,19.26,,,,,,,,,,,,,,,,,,,,,,
2000-11-29,19.17,,,,,,,,,,,,,,,,,,,,,,
2000-11-30,19.22,,,,,,,,,,,,,,,,,,,,,,
2000-12-01,19.34,,,,,,,,,,,,,,,,,,,,,,
2000-12-04,19.34,,,,,,,,,,,,,,,,,,,,,,
2000-12-05,19.47,,,,,,,,,,,,,,,,,,,,,,
2000-12-06,19.68,,,,,,,,,,,,,,,,,,,,,,
2000-12-07,19.74,,,,,,,,,,,,,,,,,,,,,,
2000-12-08,19.91,,,,,,,,,,,,,,,,,,,,,,
2000-12-11,20.19,,,,,,,,,,,,,,,,,,,,,,
2000-12-12,20.21,,,,,,,,,,,,,,,,,,,,,,
2000-12-13,20.54,,,,,,,,,,,,,,,,,,,,,,
2000-12-14,20.47,,,,,,,,,,,,,,,,,,,,,,
2000-12-15,19.91,,,,,,,,,,,,,,,,,,,,,,
2000-12-18,19.98,,,,,,,,,,,,,,,,,,,,,,
2000-12-19,19.88,,,,,,,,,,,,,,,,,,,,,,
2000-12-20,19.68,,,,,,,,,,,,,,,,,,,,,,
2000-12-21,19.41,,,,,,,,,,,,,,,,,,,,,,
2000-12-22,18.87,,,,,,,,,,,,,,,,,,,,,,
2000-12-26,18.42,,,,,,,,,,,,,,,,,,,,,,
